0,#,FORM,LEMMA,GRAM,COMMENT,CHECKED,CONTEXT,RIGHT1,RIGHT2,RIGHT3,RIGHT4,RIGHT5,RIGHT6,POS,AUTO_LEMMA,AUTO_GRAM,
37624,# doc = расшифровка_Роман.2.txt,,,,,,,,,,,,,,,,
37625,# speaker = Роман,,,,,,,,,,,,,,,,
37626,# sent = 2810,,,,,,,,,,,,,,,,
37627,,У,У,PR,,,   _У_ меня был билет,у,,,,,,PR,У,PR,Я
37628,,меня,Я,SPRO sg 1p - acc,,,  У _меня_ был билет .,я,н,е,м,,,SPRO,Я,SPRO sg 1p - acc,Ь
37629,,был,БЫТЬ,V ipf tran act praet sg indic m -,,, У меня _был_ билет . ,л,ы,б,,,,V,БЫТЬ,V ipf praet sg indic m -,Т
37630,,билет,БИЛЕТ,S m inan acc sg,,,У меня был _билет_ .  ,т,е,л,и,б,,S,БИЛЕТ,S m inan acc sg,
37631,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
37632,,,,,,,,,,,,,,,,,
37633,# sent = 2811,,,,,,,,,,,,,,,,
37634,"<span class=""note"">",,,,,,,,,,,,,,,,
37635,<note>,задумчиво смотрит в окно,,,,,,,,,,,,,,,
37636,</span>,,,,,,,,,,,,,,,,Я
37637,,Мне,Я,SPRO sg 1p - dat,,, задумчиво смотрит в окно  _Мне_ удалось урвать один,е,н,м,,,,SPRO,Я,SPRO sg 1p - dat,Я
37638,,удалось,УДАТЬСЯ,V pf act praet sg indic n -,,,задумчиво смотрит в окно  Мне _удалось_ урвать один ...,ь,с,о,л,а,д,V,УДАТЬСЯ,V pf praet sg indic n -,Ь
37639,,урвать,УРВАТЬ,V pf - - inf - -,,, Мне удалось _урвать_ один ... но,ь,т,а,в,р,у,V,УРВАТЬ,V pf - - inf - -,Н
37640,,один,ОДИН,ANUM - acc sg plen m inan,,,Мне удалось урвать _один_ ... но по,н,и,д,о,,,ANUM,ОДИН,ANUM - acc sg plen m inan,
37641,,...,...,PUNCT,,,,,,,,,,PUNCT,,,О
37642,,но,НО,CONJ,,,урвать один ... _но_ по билету проходить,о,н,,,,,CONJ,НО,CONJ,О
37643,,по,ПО,PR,,,один ... но _по_ билету проходить слишком,о,п,,,,,PR,ПО,PR,Т
37644,,билету,БИЛЕТ,S m inan dat sg,,,... но по _билету_ проходить слишком скучно,у,т,е,л,и,б,S,БИЛЕТ,S m inan dat sg,Ь
37645,,проходить,ПРОХОДИТЬ,V ipf - - inf - -,,,"но по билету _проходить_ слишком скучно ,",ь,т,и,д,о,х,V,ПРОХОДИТЬ,V ipf - - inf - -,М
37646,,слишком,СЛИШКОМ,ADV -,,,"по билету проходить _слишком_ скучно , ",м,о,к,ш,и,л,ADV,СЛИШКОМ,ADV -,О
37647,,скучно,СКУЧНО,ADV -,,,"билету проходить слишком _скучно_ ,  када",о,н,ч,у,к,с,ADV,СКУЧНО,ADV -,
37648,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
