# doc = расшифровка_Роман.2.txt,,,,,,,,,,,,,,,,
# speaker = Роман,,,,,,,,,,,,,,,,
# sent = 2810,,,,,,,,,,,,,,,,
,У,У,PR,,,_У_ меня был билет,у,,,,,,PR,У,PR,У
,меня,Я,SPRO sg 1p - acc,,,У _меня_ был билет .,я,н,е,м,,,SPRO,Я,SPRO sg 1p - acc,Я
,был,БЫТЬ,V ipf tran act praet sg indic m -,,,У меня _был_ билет .,л,ы,б,,,,V,БЫТЬ,V ipf praet sg indic m -,Ь
,билет,БИЛЕТ,S m inan acc sg,,,У меня был _билет_ .,т,е,л,и,б,,S,БИЛЕТ,S m inan acc sg,Т
,.,.,PUNCT,,,,,,,,,,PUNCT,,,
,,,,,,,,,,,,,,,,
# sent = 2811,,,,,,,,,,,,,,,,
"<span class=""note"">",,,,,,,,,,,,,,,,
<note>,задумчиво смотрит в окно,,,,,,,,,,,,,,,
</span>,,,,,,,,,,,,,,,,
,Мне,Я,SPRO sg 1p - dat,,,задумчиво смотрит в окно  _Мне_ удалось урвать один,е,н,м,,,,SPRO,Я,SPRO sg 1p - dat,Я
,удалось,УДАТЬСЯ,V pf act praet sg indic n -,,,задумчиво смотрит в окно  Мне _удалось_ урвать один ...,ь,с,о,л,а,д,V,УДАТЬСЯ,V pf praet sg indic n -,Я
,урвать,УРВАТЬ,V pf - - inf - -,,,Мне удалось _урвать_ один ... но,ь,т,а,в,р,у,V,УРВАТЬ,V pf - - inf - -,Ь
,один,ОДИН,ANUM - acc sg plen m inan,,,Мне удалось урвать _один_ ... но по,н,и,д,о,,,ANUM,ОДИН,ANUM - acc sg plen m inan,Н
,...,...,PUNCT,,,,,,,,,,PUNCT,,,
,но,НО,CONJ,,,урвать один ... _но_ по билету проходить,о,н,,,,,CONJ,НО,CONJ,О
,по,ПО,PR,,,один ... но _по_ билету проходить слишком,о,п,,,,,PR,ПО,PR,О
,билету,БИЛЕТ,S m inan dat sg,,,... но по _билету_ проходить слишком скучно,у,т,е,л,и,б,S,БИЛЕТ,S m inan dat sg,Т
,проходить,ПРОХОДИТЬ,V ipf - - inf - -,,,"но по билету _проходить_ слишком скучно ,",ь,т,и,д,о,х,V,ПРОХОДИТЬ,V ipf - - inf - -,Ь
,слишком,СЛИШКОМ,ADV -,,,"по билету проходить _слишком_ скучно ,",м,о,к,ш,и,л,ADV,СЛИШКОМ,ADV -,М
,скучно,СКУЧНО,ADV -,,,"билету проходить слишком _скучно_ ,  када",о,н,ч,у,к,с,ADV,СКУЧНО,ADV -,О
,",",",",PUNCT,,,,,,,,,,PUNCT,,,
"<distinct form=""",,,,,,,,,,,,,,,,
<dist>,када,,,,,,,,,,,,,,,
">																
	когда	КОГДА	CONJ			 када  _когда_  ты молодой	а	д	г	о	к		ADV	КОГДА	ADV -	А
</distinct>																
	ты	ТЫ	SPRO sg 2p - nom			 когда  _ты_ молодой и хочешь	ы	т					SPRO	ТЫ	SPRO sg 2p - nom	Ы
	молодой	МОЛОДОЙ	A - nom sg plen m -			когда  ты _молодой_ и хочешь приключений	й	о	д	о	л	о	A	МОЛОДОЙ	A - nom sg plen m -	Й
	и	И	CONJ			 ты молодой _и_ хочешь приключений ,	и						CONJ	И	CONJ	И
	хочешь	ХОТЕТЬ	V ipf act praes sg indic - 2p			ты молодой и _хочешь_ приключений , ловишь	ь	ш	е	ч	о	х	V	ХОТЕТЬ	V ipf praes sg indic - 2p	Ь
	приключений	ПРИКЛЮЧЕНИЕ	S n inan gen pl			молодой и хочешь _приключений_ , ловишь периодически	й	и	н	е	ч	ю	S	ПРИКЛЮЧЕНИЕ	S n inan gen pl	Е
	,	,	PUNCT										PUNCT			
	ловишь	ЛОВИТЬ	V ipf act praes sg indic - 2p			хочешь приключений , _ловишь_ периодически уток 	ь	ш	и	в	о	л	V	ЛОВИТЬ	V ipf praes sg indic - 2p	Ь
	периодически	ПЕРИОДИЧЕСКИ	ADV -			приключений , ловишь _периодически_ уток  акцент на слове уток""",и,к,с,е,ч,и,ADV,ПЕРИОДИЧЕСКИ,ADV -,И,,,,,,
,уток,УТКА,S f anim gen pl,,,", ловишь периодически _уток_  акцент на слове ""уток""",к,о,т,у,,,S,УТКА,S f anim acc pl,А
"<span class=""note"">",,,,,,,,,,,,,,,,
<note>,"акцент на слове ""уток""",,,,,,,,,,,,,,,
</span>,,,,,,,,,,,,,,,,
,.,.,PUNCT,,,,,,,,,,PUNCT,,,
,,,,,,,,,,,,,,,,
# sent = 2812,,,,,,,,,,,,,,,,
,И,И,CONJ,,,.   _И_ полезли через забор,и,,,,,,CONJ,И,CONJ,И
,полезли,ПОЛЕЗТЬ,V pf act praet pl indic - -,,,И _полезли_ через забор,и,л,з,е,л,о,V,ПОЛЕЗТЬ,V pf praet pl indic - -,Ь
,через,ЧЕРЕЗ,PR,,,И полезли _через_ забор  мотает головой в сорону камеры,з,е,р,е,ч,,PR,ЧЕРЕЗ,PR,З
